# NK-Инжиниринг (196 bundle) — канонический title_zone.py (corruption-tolerant + OCR-on-suspect, pp87-checker@локально 46477d5) по DocSpectrum NK exports. DocSpectrum-владение (переживает Checker export_all реген, который покрывает только Checker-корпус). Джойн по crc32 (DEC-006). Делимитер ;.
crc32;file_name;cover_pages;title_anchor_pages;anomaly;confidence
d1872ced;Раздел ПД N 5  ИОС5.4.1 ул. Школьная, д. 4.pdf;1-4;"1;2";;high
dabd1d61;Раздел ПД N 5  ИОС5.4.1_ ул. Школьная, д. 5.pdf;1-4;"1;2";;high
7ff569f6;Раздел ПД N 5.1  ИОС5.1  ул. Ленина, д.20 .pdf;1-2;"1;2";;high
0d01955c;Раздел ПД N 5.1  ИОС5.1  ул. Школьная, д.2.pdf;1-2;"1;2";;high
2abdb623;Раздел ПД N 5.1  ИОС5.1  ул. Школьная, д.3 .pdf;1-2;"1;2";;high
0e3366da;Раздел ПД N 5.1  ИОС5.1  ул. Школьная, д.4 .pdf;1-2;"1;2";;high
5489d051;Раздел ПД N 5.1  ИОС5.1  ул. Школьная, д.5.pdf;1-2;"1;2";;high
78166354;Раздел ПД N 5.1  ИОС5.1 ул. Школьная, д.1.pdf;1-2;"1;2";;high
978fd6dd;Раздел ПД N 6 ПОС ул. Школьная, д.1.pdf;1-2;"1;2";;high
6bffa748;Раздел ПД N 6 ПОС ул. Школьная, д.2.pdf;1-2;"1;2";;high
521f8a25;Раздел ПД N 6 ПОС_ул. Ленина, д.20.pdf;1-2;"1;2";;high
d3fae72d;Раздел ПД N 6 ПОС_ул. Школьная, д.3.pdf;1-2;"1;2";;high
f61ece45;Раздел ПД N 6 ПОС_ул. Школьная, д.4.pdf;1-2;"1;2";;high
a040215d;Раздел ПД N 6 ПОС_ул. Школьная, д.5.pdf;1-2;"1;2";;high
aa8b265f;Раздел ПД №5 ИОС5.5.1  ул Школьная 2.pdf;1-2;"1;2";;high
a22c9381;Раздел ПД №5 ИОС5.5.1 г.о Дзержинский, ул Ленина 20.pdf;1-2;"1;2";;high
2fa21e10;Раздел ПД №5 ИОС5.5.1 ул Школьная 1.pdf;1-2;"1;2";;high
d9c1d98d;Раздел ПД №5 ИОС5.5.1 ул Школьная 3 .pdf;1-2;"1;2";;high
e58ce64a;Раздел ПД №5 ИОС5.5.1 ул Школьная 4 .pdf;1-2;"1;2";;high
8b8033f1;Раздел ПД №5 ИОС5.5.1 ул Школьная 5.pdf;1-2;"1;2";;high
54948e8a;С Титульником 2024-2738К-К5-АУУ.ИОС.pdf;1-8;"1;2";;high
6345f07d;С Титульником 2024-2738К-К5-АУУ.ПОКР.pdf;1-2;"1;2";;high
9b3c038b;СМ КОС20А 7.7.pdf;1-2;"1;2";;high
9f493baa;СМ КОС20Б 7.7.pdf;1-2;"1;2";;high
8ab9c53c;СМ КОС22 7.7.pdf;1-2;"1;2";;high
aad5b617;СМ КОС24А 7.7.pdf;1-2;"1;2";;high
599fc0f2;СМ КОС26 7.7.pdf;1-2;"1;2";;high
f2ded0d0;СМ КОС27А 7.7.pdf;1-2;"1;2";;high
cf3f52b7;СМ КОС28 7.7.pdf;1-2;"1;2";;high
c09142a9;СМ КОС32 7.7.pdf;1-2;"1;2";;high
d7e8da71;СМ ЛЕН106.pdf;1-2;"1;2";;high
cc9cbe1a;СМ ЛЕН11.pdf;1-2;"1;2";;high
1a3f8476;СМ ЛЕН17.pdf;1-2;"1;2";;high
724647f4;СМ ЛЕН18.pdf;1-2;"1;2";;high
592ae128;СМ ЛЕН20.pdf;1-2;"1;2";;high
8f08e5c6;СМ ЛЕН24 6.8.pdf;1-2;"1;2";;high
830dd77c;СМ ЛЕН3 6.8.pdf;1-2;"1;2";;high
f8c11849;СМ ЛЕН32 6.8.pdf;1-2;"1;2";;high
