# title_pages_by_crc — кросс-проектная reference-таблица (crc32 → титульные страницы + confidence). Источник: Checker title-detector (opus_checker@e4b32dc, tools_heading/title_zone.py). Прогон 2026-06-17: 451 bundle, confidence high 443 / low 8. Делимитер ; (в file_name есть запятые). Джойн по crc32 (DEC-20260615-006). confidence=high → найден текст-якорь «ПРОЕКТНАЯ ДОКУМЕНТАЦИЯ» (детектор cover_end exact 100%/±1 100% на 34 taxonomy); low → аномалия (image_title/no_title/…). Строки # пропускать при чтении.
crc32;file_name;cover_pages;title_anchor_pages;anomaly;confidence
9cb0949c;Раздел ПД N 5  ИОС5.4.1_Симферопольская, д.49 к.2 гвс.pdf;1-2;"1;2";;high
4a155008;Раздел ПД N 5  ИОС5.4.1_Симферопольская, д.49 к.2 от.pdf;1-2;"1;2";;high
e0824486;Раздел ПД N 5  ИОС5.4.1_г. Подольск, мкр-н Климовск, Заводская, д. 12 гвс.pdf;1-2;"1;2";;high
08c6190f;Раздел ПД N 5  ИОС5.4.1_г. Подольск, мкр-н Климовск, Симферопольская, д. 33 от.pdf;1-2;"1;2";;high
9067bf49;Раздел ПД N 5  ИОС5.4.1_г. Подольск, мкр-н Климовск, Симферопольская, д. 7.pdf;1-2;"1;2";;high
1884d6ae;Раздел ПД N 5  ИОС5.4.1_г. Подольск, мкр-н Климовск, ул. Симферопольская, д. 49, к. 5 гвс.pdf;1-2;"1;2";;high
936537a9;Раздел ПД N 5  ИОС5.4.1_г. Подольск, мкр-н Климовск, ул. Симферопольская, д. 49, к. 5 от.pdf;1-2;"1;2";;high
b8070984;Раздел ПД N 5  ИОС5.4.1_пр-кт 50 лет Октября, д. 16б.pdf;1-2;"1;2";;high
29381462;Раздел ПД N 5  ИОС5.4.1_ул. Молодежная, д.2 к.1.pdf;1-2;"1;2";;high
879c7757;Раздел ПД N 5  ИОС5.4.1_ул. Молодежная, д.3.pdf;1-2;"1;2";;high
0061fbca;Раздел ПД N 5  ИОС5.4.1_ул. Первомайская, д. 1 гвс.pdf;1-2;"1;2";;high
5af6d107;Раздел ПД N 5  ИОС5.4.1_ул. Первомайская, д. 3 От.pdf;1-2;"1;2";;high
c8dad5e1;Раздел ПД N 5  ИОС5.4.1_ул.Театральная, д. 4 ГВС.pdf;1-2;"1;2";;high
9ec4d8f4;Раздел ПД N 6 ПОКР г.Подольск, мкр-н Климовск, ул.Заводская, д.4б.pdf;1-2;"1;2";;high
